statefips,date,ds_o3_pred,ds_o3_stdd
1,03FEB2013,43.000788888888884,7.479139525021205
1,03FEB2014,22.53064215436811,5.138280491942324
1,03JAN2011,31.331755178965224,6.938897776081425
1,03JAN2012,29.985729177268876,6.3503112807463955
1,03JAN2013,26.436671925360475,6.031595080576761
1,03JAN2014,32.845449618320615,6.434234181509754
1,03JUL2011,56.349200551314674,6.23023898812553
1,03JUL2012,44.18488032230704,5.273303138252756
1,03JUL2013,32.25165767599661,4.901845038167939
1,03JUL2014,46.178134520780326,5.099646055979643
1,03JUN2011,60.89840449363868,5.430271073791348
1,03JUN2012,56.82427404580152,4.49872909245123
1,03JUN2013,37.78404766751485,4.493047158608991
1,03JUN2014,33.492199660729426,4.178568532654792
1,03MAR2011,54.27418703138253,5.40156358524173
1,03MAR2012,37.76700356234097,3.434615691263783
