statefips,date,ds_pm_pred,ds_pm_stdd
1,03FEB2012,8.32976759966073,3.022253519932146
1,03FEB2013,6.708269465648854,2.8137220525869377
1,03FEB2014,6.201209075487701,3.8959666666666664
1,03JAN2011,7.676708747243427,2.881530837998304
1,03JAN2012,5.830195419847328,3.614163019508058
1,03JAN2013,13.974855046649704,7.082390076335877
1,03JAN2014,7.027766327396099,5.38395614927905
1,03JUL2011,20.07757520610687,4.2569106938083126
1,03JUL2012,17.242310347752333,7.088685581000847
1,03JUL2013,8.040786174724342,1.9486034181509753
1,03JUL2014,10.90022213740458,4.952340118744699
1,03JUN2011,25.267232463104325,8.343456315521628
1,03JUN2012,14.41932536047498,6.372204580152672
1,03JUN2013,7.698209923664122,1.7949986344359627
1,03JUN2014,9.894722646310433,4.845566921119593
1,03MAR2011,14.08254933418151,3.471146553859203
